Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
meleeWpnBladeT4TreatedMacheteParts,items,Melee,,,Treated Steel Machete Parts,,Behandelter Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
meleeWpnSledgeT4TreatedSteelSledgehammerSchematic,items,Melee,,,Treated Steel Sledgehammer Schematic,,Bauplan – Behandelter Stahlvorschlaghammer,Esquema de mazo de acero,Schéma de masse en acier,Schema del martello d'acciaio,設計図「鉄鋼製スレッジハンマー」,강철 슬레지해머 도면,Stalowy młot rozbiórkowy — schemat,Diagrama de Marreta de Aço,Схема стальной кувалды,Çelik Balyoz Şeması,钢质大锤设计图,鋼鎚原理圖,Esquema de mazo de acero
meleeWpnKnucklesT4TreatedSteelKnucklesSchematic,items,Melee,,,Treated Steel Knuckles Schematic,,Bauplan – Stahlvorschlaghammer,Esquema de mazo de acero,Schéma de masse en acier,Schema del martello d'acciaio,設計図「鉄鋼製スレッジハンマー」,강철 슬레지해머 도면,Stalowy młot rozbiórkowy — schemat,Diagrama de Marreta de Aço,Схема стальной кувалды,Çelik Balyoz Şeması,钢质大锤设计图,鋼鎚原理圖,Esquema de mazo de acero
meleeWpnSpearT4TreatedSteelSpearSchematic,items,Melee,,,Treated Steel Spear Schematic,,Bauplan – Behandelter Stahlvorschlaghammer,Esquema de mazo de acero,Schéma de masse en acier,Schema del martello d'acciaio,設計図「鉄鋼製スレッジハンマー」,강철 슬레지해머 도면,Stalowy młot rozbiórkowy — schemat,Diagrama de Marreta de Aço,Схема стальной кувалды,Çelik Balyoz Şeması,钢质大锤设计图,鋼鎚原理圖,Esquema de mazo de acero
meleeWpnClubT4TreatedSteelClubSchematic,items,Melee,,,Treated Steel Club Schematic,,Bauplan – Behandelter Stahlvorschlaghammer,Esquema de mazo de acero,Schéma de masse en acier,Schema del martello d'acciaio,設計図「鉄鋼製スレッジハンマー」,강철 슬레지해머 도면,Stalowy młot rozbiórkowy — schemat,Diagrama de Marreta de Aço,Схема стальной кувалды,Çelik Balyoz Şeması,钢质大锤设计图,鋼鎚原理圖,Esquema de mazo de acero
meleeWpnBladeT4TreatedMacheteSchematic,items,Melee,,,Treated Steel Machete Schematic,,Bauplan – Behandelter Stahlvorschlaghammer,Esquema de mazo de acero,Schéma de masse en acier,Schema del martello d'acciaio,設計図「鉄鋼製スレッジハンマー」,강철 슬레지해머 도면,Stalowy młot rozbiórkowy — schemat,Diagrama de Marreta de Aço,Схема стальной кувалды,Çelik Balyoz Şeması,钢质大锤设计图,鋼鎚原理圖,Esquema de mazo de acero
treatedSteelPartsGroupDesc,items,Gun,,,"Treat the parts from scrapping advanced armors, tools and weapons with an acid based coating. Use the result to craft new items.",,"Zerlege fortgeschrittene Waffen und Werkzeuge, um diese Gegenstände zu erhalten. Verwende sie, um neue Gegenstände zu fertigen.",Desguaza armas y herramientas avanzadas para obtener estos objetos. Úsalas para fabricar nuevos objetos.,Recyclez des armes et des outils avancés pour acquérir ces objets. Utilisez-les pour fabriquer de nouveaux objets.,Rottama armi e strumenti avanzati per acquisire questi oggetti. Usale per creare nuovi oggetti.,これらのアイテムを入手するには高度な武器やツールの解体が必要です。新しいアイテムをクラフトするのに使用します。,고급 무기와 도구를 분해해 이러한 아이템을 획득할 수 있습니다. 새로운 아이템을 제작할 때 사용하세요.,"Złomuj zaawansowaną broń i narzędzia, aby pozyskać przedmioty, z których później wytworzysz nowe wyposażenie.",Recicle armas avançadas e ferramentas para obter esses itens. Use para fabricar novos itens.,"Разбирайте продвинутое оружие и инструменты, чтобы получить эти вещи. Используйте их для изготовления новых предметов.",Gelişmiş sil
meleeWpnSledgeT4TreatedSteelSledgehammerDesc,items,Melee,,,The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Repair Kit.\nScrap to Steel Sledgehammer parts.,,"Der Vorschlaghammer ist eine der besten Waffen, um Schädel einzuschlagen.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Stahlvorschlaghammerteilen zerlegt werden.",El mazo es una de las mejores armas para destrozar cráneos.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de mazo de acero.,La masse est l'une des meilleures armes pour défoncer des crânes.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de masse en acier.,Il martello è una delle armi migliori per fracassare crani.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per martello d'acciaio.,頭蓋骨を叩き割るなスレッジハンマーに限ります。\n\n修理キットで修復可能。\n解体すると鉄鋼製スレッジハンマーパーツに。,슬레지해머는 두개골을 깨기에 가장 좋은 무기죠.\n\n수리 키트로 수리할 수 있습니다.\n강철 슬레지해머 부품으로 분해됩니다.,Młot rozbiórkowy to jeden z najlepszych narzędzi do rozłupywania czaszek.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części stalowego młota rozbiórkowego.,Esta marreta é uma das melhores armas para abrir crânios.\n\nConserte com o kit de reparos.\nRecicle para obter peças de marreta de aço.,"Кувалды, пожалуй, лучшее оружие для того, чтобы дробить головы.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части стальной кувалды.","Balyoz, kafa kırmak için en iyi silahlardan biridir.\n\nOnarım Kitiyle onar.\nHurdaya çıkardığında Çelik Balyoz parçaları elde edersin.",此大锤是敲碎头颅最好的武器之一。\n\n可使用维修工具修理。\n可分解为钢质大锤零件。,鎚子是破開頭骨的最佳武器之一。\n\n用維修工具包進行修復。\n鋼鎚部件報廢。,El mazo es una de las mejores armas para destrozar cráneos.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de mazo de acero.
cntCoffinPlayer,blocks,Container,,,Coffin,,Sarg,Ataúd,Cercueil,Bara,棺,관,Trumna,Caixão,Гроб,Tabut,棺材,棺材,Ataúd
signBathroomVariantHelper,blocks,Sign,,,Bathroom Sign Unisex Wall,,"Toilettenschild – Unisex, Wand",Cartel de baño unisex para pared,"Panneau de toilettes unisexes, mur",Insegna da muro bagno unisex,洗面所案内板（共用、壁面）,화장실 간판 남녀공용 벽,"Znak łazienki — uniwersalna, ściana",Placa de banheiro unissex para a parede,Знак «Общий туалет» настенный,Banyo Tabelası - Karışık Duvar,卫生间标志 通用 墙面,混浴室墻壁標誌,Cartel de baño unisex para pared
bodyBagVariantHelper,blocks,Block,,,Body Bag Black,,"Leichensack, schwarz",Bolsa para transportar cadáveres negra,Sac mortuaire noir,Sacco per cadavere nero,死体袋（黒）,검정색 시체 운반 부대,Worek na zwłoki — czarny,Saco preto para cadáver,Черный мешок для трупа,Ceset Torbası - Siyah,黑色装尸袋,黑色收屍袋,Bolsa para transportar cadáveres negra
cntStoreProduceBasketVariantHelper,blocks,Container,,,Produce Basket Corner Empty ,,"Warenkorb – Ecke, leer ",Esquina de cesta de alimentos vacía ,"Caisse pour produits, angle, vide ",Cesto di frutta e verdura ad angolo vuoto ,農作物のバスケット(コーナー、空),과일 바구니 모서리 비어 있음 ,"Kosz na warzywa — róg, puste ",Canto da cesta de alimentos vazia ,"Угловая корзина для продуктов, пустая ",Meyve Sebze Sepeti Köşesi Boş ,空农产品篮拐角 ,空農產品籃轉角,Esquina de cesta de alimentos vacía 
cntStoreShelfFoodVariantHelper,blocks,Container,,,Food Store Shelf,,Ladenregal,Estantería de almacenaje,Rayonnage,Scaffale da negozio,店舗用棚,상점 선반,Półka sklepowa,Prateleira de loja,Магазинная полка,Depo Rafı,货架,貨架,Estantería de almacenaje
cntStoreShelfHardwareVariantHelper,blocks,Container,,,Hardware Store Shelf,,Ladenregal,Estantería de almacenaje,Rayonnage,Scaffale da negozio,店舗用棚,상점 선반,Półka sklepowa,Prateleira de loja,Магазинная полка,Depo Rafı,货架,貨架,Estantería de almacenaje
cntStoreShelfPharmaVariantHelper,blocks,Container,,,Pharma Store Shelf,,Ladenregal,Estantería de almacenaje,Rayonnage,Scaffale da negozio,店舗用棚,상점 선반,Półka sklepowa,Prateleira de loja,Магазинная полка,Depo Rafı,货架,貨架,Estantería de almacenaje
cntStoreShelfTrashVariantHelper,blocks,Container,,,Trash Store Shelf,,"Ladenregal – einzeln, Boden, Ramsch 01","Estantería de almacenaje, parte de abajo simple, basura 01","Simple rayonnage, bas, déchets 01",Scaffale da negozio con fondo singolo e rifiuti 01,店舗用棚(単底、ゴミ01),상점 선반 보통 하단 쓰레기 01,"Półka sklepowa — pojedyncze, dół, śmieci 01",Base da prateleira de loja simples com lixo 01,Обломки нижней части магазинной полки 01,Depo Rafı Tekli Alt Çöp 01,单面货架底部垃圾 01,單層貨架底部垃圾01,"Estantería de almacenaje, parte de abajo simple, basura 01"
cntStoreShelfElectronicsVariantHelper,blocks,Container,,,Electronics Store Shelf,,Ladenregal,Estantería de almacenaje,Rayonnage,Scaffale da negozio,商品棚,상점 선반,Półki sklepowe,Prateleira de loja,Магазинная полка,Depo Rafı,货架,貨架,Estantería de almacenaje
cntLuggageVariantHelper,blocks,Container,,,"Luggage, open",,"Gepäck, offen","Equipaje, abierto","Bagages, ouverts",Valigia aperta,荷物（開放）,수하물 (열림),"Bagaż, otwarty",Bagagem (aberta),Открытый чемодан,"Valiz, açık",行李-打开,行李箱，打開的,"Equipaje, abierto"
graveStoneVariantHelper,blocks,Block,,,Grave Stone ,,Grabstein ,Piedra de lápida ,Pierre tombale ,Pietra tombale ,墓石01,묘비 ,Nagrobek ,Pedra de cascalho ,Надгробие ,Mezar Taşı ,墓碑 ,墓石 ,Piedra de lápida 
cntBarrelAcidVariantHelper,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelGasVariantHelper,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelGenericVariantHelper,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelOilVariantHelper,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelWhiteVariantHelper,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelPlasticVariantHelper,blocks,Block,,,Plastic Barrel,,Kunststoff-Fass,Barril de plástico,Baril en plastique,Barile di plastica,プラスチックの樽,플라스틱 통,Plastikowa beczka,Barril de plástico,Пластиковая бочка,Plastik Varil,塑料桶,塑料桶,Barril de plástico
cntBarrelRadiatedVariantHelper,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
woodDoorTrimVariantHelper,blocks,Door,,,Door Trim Top,,"Türzierleiste, oben",Parte superior de embellecedor de puerta,"Boiserie de porte, haut",Rivestimento superiore per porta,ドアトリム上部,문 테두리 (상부),"Futryna, góra",Vista de porta topo,Верх дверного украшения,Kapı Çıtası - Üst,门缘饰 顶部,門飾板頂部,Parte superior de embellecedor de puerta
corrugatedMetalPillarVariantHelper,blocks,Block,,,Corr. Metal Pillar 5cm,,Wellblech – Säule 5 cm,Pilar de metal ondulado de 5 cm,Pilier en métal ondulé 5 cm,Pilastro di metallo ondulato 5 cm,トタン金属支柱（5cm）,파형 금속 기둥 (5cm),"Blacha falista — kolumna, 5 cm",Ondulado Pilar de metal de 5cm,Гофр. металлическая колонна 5 см,Oluklu Metal Sütun - 5 cm,瓦楞金属柱 5厘米,腐蝕5釐米粗金屬柱,Pilar de metal ondulado de 5 cm
ductVariantHelper,blocks,Block,,,Duct Soft,,Weiche Rohrleitung,Tubo ligero,Conduit souple,Dotto morbido,やわらかダクト,부드러운 덕트,Kanał — miękki,Duto fraco,Мягкая трубка,Kanal - Yumuşak,软管,軟管,Tubo ligero
moviePosterVariantHelper,blocks,Sign,,,Sign: Movie Poster 2159,,Schild: Filmplakat 2159,Cartel: Poster de película 2159,Panneau : affiche de film 2159,Insegna: poster film 2159,看板：映画ポスター『2159』,간판: 2159 영화 포스터,Znak: plakat filmu „2159”,Placa: Cartaz de Filme 2159,Вывеска: Постер фильма «2159»,Tabela: Film Posteri 2159,标记：电影海报 2159,標誌：電影廣告《2159》,Cartel: Poster de película 2159
moviePosterTheaterVariantHelper,blocks,Sign,,,Sign: Theater Poster 2159,,Schild: Kinoplakat 2159,Cartel: Poster de cine 2159,Panneau : affiche du film 2159,Insegna: poster cinema 2159,看板：劇場ポスター『2159』,간판: 2159 극장 포스터,Znak: plakat filmu „2159”,Placa: Cartaz de Cinema 2159,Вывеска: Афиша фильма «2159»,Tabela: Sinema Posteri 2159,标记：剧院海报 2159,標誌：影院廣告《2159》,Cartel: Poster de cine 2159
paintingVariantHelper,blocks,Block,,,Painting: Ben,,Gemälde: Ben,Pintura: Ben,Peinture : Ben,Ritratto: Ben,絵画:ベン,그림: 벤,Obraz: Ben,Pintura: Ben,Картина: Бен,Tablo: Ben,画:本,繪畫：本,Pintura: Ben
basicWindowVariantHelper,blocks,Block,,,Window 2,,Fenster 2,Ventana 2,Fenêtre 2,Finestra 2,窓2,창문 2,Okno 2,Janela 2,Окно 2,Pencere 2,窗户 2,窗戶 2,Ventana 2
storeWindowEmptyVariantHelper,blocks,Block,,,Window Store One Sided,,Fensterrahmen – eine Seite,Escaparate de un lateral,Vitrine - un côté,Struttura per finestra con 1 lato,店舗用窓・一辺,단면 유리 상점,"Okno — sklep, jedna strona",Vitrine de um lado,"Магазинная витрина, одна сторона",Pencere Deposu - Tek Taraflı,窗户 商店 一面,單邊櫥窗,Escaparate de un lateral
storeWindowVariantHelper,blocks,Block,,,Window Store Corner Full,,"Fensterrahmen – Ecke, ganz",Esquina de escaparate entero,"Vitrine, angle, complète",Angolo completo di struttura per finestra,店舗用窓(コーナー、フル),창문 상점 모서리 전체,"Okno — sklep, róg, pełne",Canto de vitrine completo,Полный угол магазинной витрины,Pencere Deposu Köşesi - Tam,角落完整商店橱窗,角落完整版櫥窗,Esquina de escaparate entero
bulletproofWindowVariantHelper,blocks,Block,,,Window Store Corner Bulletproof,,"Fensterrahmen – Ecke, kugelsicher",Esquina de escaparate a prueba de balas,"Vitrine, angle, pare-balles",Angolo di struttura per finestra blindata,店舗用窓(コーナー、防弾),창문 상점 모서리 방탄,"Okno — sklep, róg, kuloodporne",Canto de vitrine à prova de bala,Угол пуленепробиваемой магазинной витрины,Pencere Deposu - Köşe Kurşungeçirmez,角落防弹商店橱窗,角落防彈櫥窗,Esquina de escaparate a prueba de balas
woodWindowTrimVariantHelper,blocks,Block,,,Wood Window Trim,,Holzfenster – Zierleiste,Embellecedor de ventana de madera,Boiserie de fenêtre,Rivestimento per finestra di legno,木製窓トリム,목재 창문 (테두리),"Drewno — okno, ościeżnica okienna",Soleira da janela de madeira,Украшение деревянного окна,Tahta Pencere Çıtası,木窗缘饰,木窗裝飾板,Embellecedor de ventana de madera
controlPanelVariantHelper,blocks,Block,,,Control Panel Base ,,Kontrollkonsole – Sockel ,Base de panel de control ,Base de panneau de contrôle ,Base del pannello di controllo ,制御盤ベース,제어 패널 (베이스 ),Panel sterowania — podstawa ,Base do painel de controle ,База блока управления ,Kontrol Paneli Tabanı ,控制面板 基底 ,控制面板底座 ,Base de panel de control 
roadSignVariantHelper,blocks,Sign,,,Sign Spillway Lake,,Schild Spillway-See,Cartel de lago vertedero,"Panneau ""Spillway Lake""",Cartello Spillway Lake,標識「スピルウェイ湖」,간판 (스필웨이 호수),Znak — jezioro Spillway,Placa de Spillway Lake,Знак «Спиллвей-лейк»,Tabela - Spillway Gölü,溢洪湖标志,堰塞湖標識,Cartel de lago vertedero
signShopGasVariantHelper,blocks,Sign,,,Sign Shop Gas,,"Ladenschild, Benzin",Cartel de gasolinera,Enseigne de station essence,Insegna pompa di benzina,店舗看板「ガソリン」,상점 간판 (주유소),Szyld sklepu — stacja paliw,Placa de Loja Gasolina,Вывеска заправки,Dükkan Tabelası - Benzin,商店标志 汽油,加油站招牌,Cartel de gasolinera
signShopGunStoreVariantHelper,blocks,Sign,,,Sign Shop Gun Store,,"Ladenschild, Waffenladen",Cartel de tienda de armas,Enseigne d'armurerie,Insegna negozio di armi,店舗看板「ガンストア」,상점 간판 (총포점),Szyld sklepu — sklep z bronią,Placa de Loja de Armas,Вывеска оружейного магазина,Dükkan Tabelası - Silah Dükkanı,商店标志 枪支商店,槍支店招牌,Cartel de tienda de armas
signShopBookStoreVariantHelper,blocks,Sign,,,Sign Shop Bookstore,,"Ladenschild, Buchladen",Cartel de librería,Enseigne de librairie,Insegna libreria,店舗看板「本屋」,상점 간판 (서점),Szyld sklepu — biblioteka,Placa de Loja Livraria,Вывеска книжного магазина,Dükkan Tabelası - Kitapçı,商店标志 书店,書店招牌,Cartel de librería
signShopPharmacyVariantHelper,blocks,Sign,,,Sign Shop Pharmacy,,"Ladenschild, Apotheke",Cartel de farmacia,Enseigne de pharmacie,Insegna farmacia,店舗看板「薬局」,상점 간판 (약국),Szyld sklepu — apteka,Placa de Loja Farmácia,Вывеска аптеки,Dükkan Tabelası - Eczane,商店标志 药店,藥店招牌,Cartel de farmacia
signShopToolStoreVariantHelper,blocks,Sign,,,Sign Shop Tool Store,,"Ladenschild, Werkzeugladen",Cartel de tienda de herramientas,Enseigne de quincaillerie,Insegna ferramenta,店舗看板「ツールストア」,상점 간판 (도구점),Szyld sklepu — sklep z narzędziami,Placa de Loja de Ferragens,Вывеска магазина инструментов,Dükkan Tabelası - Hırdavatçı,商店标志 五金店,工具店招牌,Cartel de tienda de herramientas
signShopGroceryVariantHelper,blocks,Sign,,,Sign Shop Grocery,,"Ladenschild, Lebensmittel",Cartel de tienda de comestibles,Enseigne d'épicerie,Insegna alimentari,店舗看板「食料品」,상점 간판 (잡화점),Szyld sklepu — art. spożywcze,Placa de Loja Supermercado,Вывеска продуктового магазина,Dükkan Tabelası - Bakkal,商店标志 食品杂货,雜貨店招牌,Cartel de tienda de comestibles
signShopSavageCountryVariantHelper,blocks,Sign,,,Sign Shop Savage Country,,Ladenschild „Savage Country“,Cartel de tienda Shop Savage,"Enseigne ""Savage Country""",Insegna Savage Country,Savage Countryの店舗看板,상점 간판 Savage Country,Szyld sklepu — Savage Country,Placa de loja Savage Country,Вывеска магазина «Savage Country»,Dükkan Tabelası Savage Country,Savage Country 商店招牌,Savage Country商店招牌,Cartel de tienda Shop Savage
signShopMoPowerElectronicsVariantHelper,blocks,Sign,,,Sign Shop Mo Power Electronics,,Ladenschild „Mo Power Electronics“,Cartel de tienda Mo Power Electronics,"Enseigne électronique ""Mo Power""",Insegna Mo Power Electronics,Mo Power電子機器の店舗看板,상점 간판 Mo Power Electronics,Szyld sklepu — Mo Power Electronics,Placa de loja Mo Power Electronics,Вывеска магазина «Mo Power Electronics»,Dükkan Tabelası Mo Power Electronics,Mo Power 电子产品商店招牌,Mo Power電子商店招牌,Cartel de tienda Mo Power Electronics
cntStoreFreezerVariantHelper,blocks,Container,,,Freezer Groceries Middle Empty Closed,,"Lebensmittel-Gefrierschrank – mittel, leer, geschlossen","Alimentos de congelador vacíos cerrados, parte del medio","Congélateur à provisions, central, vide, fermé","Congelatore centrale per cibi vuoto, chiuso",食料品用の冷凍庫(中央、空、閉),식품 냉장고 중앙 비어 있음 닫힘,"Zamrażarka — spożywcze, środek, puste, zamknięte",Freezer de alimentos central vazio fechado,Пустой закрытый продуктовый холодильник по центру,Dondurucu Yiyecekleri - Orta Boş Kapalı,关闭的食品杂货冷柜，中间未置物,中間未置物食品雜貨冷凍櫃；關閉,"Alimentos de congelador vacíos cerrados, parte del medio"
cntTrashPileVariantHelper,blocks,Container,,,Trash Pile,,Müllhaufen,Montón de basura,Pile d'ordures,Pila di rifiuti,ゴミの山,쓰레기더미,Stos śmieci,Pilha de Lixo,Куча мусора,Çöp Yığını,废料堆,垃圾堆,Montón de basura
